id,nome,genero,idioma,cartao_credito,bandeira_cartao,limite,data_validade
335,Kerry Mariot,Bigender,Japanese,5048373060246430,mastercard,7102,10/30/2028
336,Angelle Oldham,Bigender,Fijian,5108755625962732,mastercard,7975,4/14/2029
337,Stacy Kytter,Male,Assamese,5048378698753517,mastercard,3307,5/5/2027
338,Talbot Darrow,Male,Arabic,5048379293699220,mastercard,5357,4/16/2030
339,Boonie Shieldon,Male,Quechua,5108758789489435,mastercard,2859,6/14/2030
340,Wileen Forrestall,Female,Azeri,5108754405492697,mastercard,3920,2/27/2026
341,Christiana Swigg,Female,Spanish,5048375126273050,mastercard,146,8/11/2024
342,Hubey Dudson,Male,Hiri Motu,5048370363708744,mastercard,6982,12/27/2029
343,Kristofor Bleythin,Male,Indonesian,5048377021754960,mastercard,5629,11/25/2027
344,Lynnett Efford,Female,Zulu,5108751220160616,mastercard,7534,6/26/2026
345,Homere Skentelbery,Bigender,Luxembourgish,5048372177942733,mastercard,3009,1/22/2025
346,Davide Foxall,Male,Tok Pisin,5108756841031476,mastercard,5270,7/5/2024
347,Mart Kielty,Male,Tamil,5108758985591125,mastercard,8800,6/12/2029
348,Conny Bidmead,Bigender,Moldovan,5108751694813443,mastercard,2967,12/21/2023
349,Elsy Laverack,Female,Somali,5108758302405116,mastercard,2509,7/11/2025
350,Gilbert Shelvey,Bigender,Northern Sotho,5108753564529711,mastercard,106,5/21/2024
351,Aland Slay,Male,Tajik,5048379594513294,mastercard,7173,10/25/2025
352,Alfons Rimer,Male,Irish Gaelic,5048371404474775,mastercard,9569,8/19/2028
353,Colette McQuaid,Female,Kashmiri,5048377747308414,mastercard,3797,12/31/2027
354,Kara-lynn Zylberdik,Female,Pashto,5108758381635021,mastercard,4368,4/20/2025
355,Matthias Spaule,Bigender,Romanian,5048378364819188,mastercard,5124,2/28/2025
356,Cointon Treswell,Male,Macedonian,5048375521830215,mastercard,9360,9/27/2029
357,Nappie Overpool,Genderfluid,Danish,5108752226857890,mastercard,6658,4/11/2026
358,Otes Eusden,Male,Arabic,5048375261711682,mastercard,4106,1/29/2029
359,Ted Ekell,Male,Marathi,5108755591567275,mastercard,3252,2/21/2027
360,Barbee Kingsmill,Female,Tetum,5108753204285492,mastercard,1109,7/23/2028
361,Joan McCleverty,Female,Kyrgyz,5108757947933649,mastercard,9149,9/8/2028
362,Lucia Himsworth,Genderfluid,Montenegrin,5108755388032608,mastercard,2342,8/12/2026
363,Richmond Shore,Male,Norwegian,5048373105927341,mastercard,4843,8/3/2029
364,Hynda Androli,Female,Marathi,5048377001220040,mastercard,9668,6/9/2026
365,Kliment Richter,Male,Lithuanian,5108750056694052,mastercard,2308,7/29/2028
366,Hillier Rosindill,Male,Kyrgyz,5048379804219609,mastercard,1228,12/10/2024
367,Jeri Coatsworth,Female,Afrikaans,5048378418127729,mastercard,3695,3/23/2025
368,Tome Coldbath,Male,Haitian Creole,5048370528610843,mastercard,5094,5/1/2024
369,Mae Bloom,Female,Filipino,5108757235113557,mastercard,2741,10/28/2024
370,Dulcy Jindrak,Female,Belarusian,5108758068019341,mastercard,9998,4/6/2024
371,Winslow Pedrazzi,Male,Mongolian,5108758246287257,mastercard,8683,9/16/2029
372,Corney Scneider,Male,Guaraní,5048370862512712,mastercard,2848,7/19/2024
373,Gaultiero Spellacey,Male,Macedonian,5108753204704252,mastercard,8532,9/28/2027
374,Esma Fiddian,Female,Dzongkha,5108758159154700,mastercard,4924,4/26/2024
375,Arlan Orlton,Genderqueer,Swedish,5048378495450002,mastercard,4643,1/3/2028
376,Joell Bunker,Female,Estonian,5048375935647908,mastercard,432,10/22/2024
377,Godart Imm,Male,Punjabi,5048374635885934,mastercard,1026,8/11/2028
378,Loria Ostridge,Female,Romanian,5048373936064686,mastercard,4525,11/16/2027
379,Elita Cecchetelli,Female,Catalan,5108751676795048,mastercard,3797,12/6/2028
380,Dayna Hartell,Female,New Zealand Sign Language,5108753980871689,mastercard,6168,3/6/2030
381,Cristie Kohn,Polygender,Papiamento,5048375750219585,mastercard,7858,8/21/2029
382,Stefano Gillson,Male,Bislama,5048375750579988,mastercard,4653,1/18/2027
383,Chet Kenward,Male,Armenian,5048371822206080,mastercard,846,8/6/2025
384,Cletis Shakle,Male,Fijian,5048373474679069,mastercard,8375,9/17/2025
385,Bevvy Suddock,Female,Amharic,5108751199967793,mastercard,1181,8/16/2027
386,Tobias Tallboy,Male,Tetum,5048375175450559,mastercard,414,10/25/2029
387,Dulcine Cabel,Female,Ndebele,5048375658835466,mastercard,8784,4/22/2029
388,Traci Nendick,Female,Assamese,5048370106107642,mastercard,2012,12/28/2026
389,Purcell Josefsson,Male,Māori,5108752519344440,mastercard,3339,10/13/2030
390,Phyllis Sherwyn,Female,Belarusian,5108757475087354,mastercard,9082,7/30/2030
391,Nertie Fibbens,Female,Dhivehi,5048377993215503,mastercard,357,2/6/2027
392,Brear Martinat,Female,Swedish,5108758606044090,mastercard,7913,3/13/2028
393,Pansy Vials,Bigender,Georgian,5048379911864735,mastercard,3540,11/21/2028
394,Glen Meert,Female,Amharic,5048376121966425,mastercard,2202,8/1/2026
395,Patricio Baldini,Bigender,Bengali,5108755846219771,mastercard,6152,9/20/2028
396,Mohandis Wasbey,Male,Greek,5048374278233848,mastercard,8257,1/7/2028
397,Dene Bronger,Male,Tsonga,5108751553237510,mastercard,6445,4/26/2029
398,Ramsay Morrell,Male,Swedish,5108751635009804,mastercard,6483,12/18/2029
399,Jan Stripling,Female,Dhivehi,5048372152761314,mastercard,9837,8/26/2025
400,Teri Bontein,Female,Kazakh,5108755295608623,mastercard,193,12/1/2029
401,Marleen Thorsby,Female,Swati,5108751773474117,mastercard,8942,7/19/2030
402,Justinn McGowan,Female,Azeri,5048376253162173,mastercard,2600,3/27/2026
403,Sumner Monan,Male,Papiamento,5048377825430213,mastercard,7452,1/3/2025
404,Heddie Ormesher,Female,Kashmiri,5108757247152627,mastercard,6531,3/11/2028
405,Lianna Warnock,Female,Persian,5048377148264067,mastercard,1620,12/26/2028
406,Brigg Roos,Male,Hiri Motu,5048375432749868,mastercard,3726,6/21/2030
407,Ronna Petroulis,Female,Swahili,5048374855575199,mastercard,9668,8/27/2025
408,Jacky Vickers,Female,Kyrgyz,5108757019972970,mastercard,2142,4/24/2026
409,Stanley Brockhouse,Male,Macedonian,5048370985555671,mastercard,8764,7/6/2027
410,Coop Newby,Male,Danish,5048378596694359,mastercard,1433,9/20/2028
411,Myrtie Leek,Female,Albanian,5048377711516018,mastercard,1458,7/26/2025
412,Lethia Starmer,Female,Dutch,5108753500670769,mastercard,138,2/13/2027
413,Tymon Horick,Male,Telugu,5108755828810837,mastercard,501,1/2/2027
414,Debbie Freathy,Female,Malay,5108756033256394,mastercard,3303,4/22/2024
415,Stanislas Joskowicz,Male,Malay,5048375593515686,mastercard,7518,11/30/2029
416,Ingeborg Gerrard,Female,Moldovan,5108754506363649,mastercard,8008,6/17/2030
417,Fleming Oddey,Male,Nepali,5048379269617537,mastercard,7085,3/8/2029
418,Ana Rudderham,Female,Portuguese,5048370414109181,mastercard,6463,3/7/2026
419,Alayne Lerohan,Female,Irish Gaelic,5108751625697576,mastercard,2402,7/1/2026
420,Ric Firle,Male,Thai,5048378739375775,mastercard,4723,2/1/2025
421,Derron Pohlke,Male,Khmer,5048379851127994,mastercard,4686,10/16/2029
422,Goldarina Lammie,Female,Belarusian,5108753336370907,mastercard,6636,10/19/2030
423,Nefen Rylstone,Male,English,5108757698638728,mastercard,4866,7/1/2027
424,Malena Baterip,Female,West Frisian,5048376208152931,mastercard,8075,12/29/2028
425,Tori Aldersea,Female,Guaraní,5048377787739031,mastercard,903,2/26/2027
426,Claiborn Surphliss,Male,Tsonga,5048370507251825,mastercard,4259,4/1/2026
427,Gracie Penritt,Bigender,Macedonian,5108757646044102,mastercard,9719,5/30/2026
428,Dom Binner,Male,Croatian,5048374308351057,mastercard,7732,4/6/2028
429,Lorilyn Roast,Female,Sotho,5048373808500031,mastercard,1581,9/18/2025
430,Kathryn Aldritt,Female,Czech,5108758687408602,mastercard,9538,11/25/2027
431,Joly Mighele,Polygender,Aymara,5048370755300878,mastercard,4742,9/30/2030
432,Liesa Skett,Female,Polish,5048378322457832,mastercard,2927,10/21/2027
433,Zoe Polle,Genderfluid,Khmer,5048373787912645,mastercard,8868,6/3/2027
434,Anitra Provost,Female,Kurdish,5048373972145811,mastercard,9830,12/15/2028
435,Annelise Haughian,Female,Czech,5048370180934713,mastercard,6434,2/21/2027
436,Anet McAlester,Female,Persian,5108753472319916,mastercard,5209,7/27/2030
437,Katusha Kremer,Female,Greek,5048372126130315,mastercard,6682,12/20/2024
438,Jameson Bernardini,Male,Spanish,5048378676425328,mastercard,691,10/30/2025
439,Ofella Mahony,Female,Kazakh,5048377534845396,mastercard,3414,12/20/2029
440,Shoshana Ashborne,Female,Malagasy,5048377087900622,mastercard,8766,1/15/2029
441,Hilde Mash,Female,Swati,5048374399703224,mastercard,8232,4/16/2024
442,Mariana Lumsdaine,Female,Lao,5048375252054597,mastercard,5614,10/20/2024
443,Vin Thompson,Bigender,Indonesian,5108757265172317,mastercard,8758,7/24/2025
444,Johnette Janssen,Female,Azeri,5108750508221686,mastercard,1709,4/28/2030
445,Brade Redmire,Male,Armenian,5048373327158808,mastercard,7870,3/1/2030
446,Nedi Lamzed,Female,Lao,5108755352298664,mastercard,6914,7/14/2025
447,Hunter Filppetti,Male,Marathi,5108754076088428,mastercard,198,11/6/2027
448,Yance Hainge,Male,Hungarian,5048379382481530,mastercard,7568,12/1/2025
449,Jaquelyn Garrique,Female,Tok Pisin,5108753989357813,mastercard,5875,2/4/2024
450,Valerye Guiducci,Female,Maltese,5048376658389025,mastercard,8432,8/9/2029
451,Marcellus Wickins,Male,Tsonga,5048377588033568,mastercard,7711,8/19/2026
452,Loretta Pendlington,Female,Filipino,5048372992521183,mastercard,4145,12/3/2030
453,Elvira Apark,Female,Tok Pisin,5108750758655724,mastercard,7690,12/4/2023
454,Delcine Volcker,Polygender,Hungarian,5048372703429734,mastercard,317,1/10/2026
455,Georgie Heinrici,Male,Italian,5108759769924482,mastercard,5353,6/29/2027
456,Shannon Hammatt,Female,Japanese,5108751685591545,mastercard,5063,6/20/2027
457,Issy Moyce,Female,Dhivehi,5048373367372160,mastercard,5139,8/14/2027
458,Marla Brunton,Female,Swati,5108752935151890,mastercard,9785,8/12/2029
459,Goldi Poe,Female,New Zealand Sign Language,5108753072526829,mastercard,9458,1/24/2027
460,Howie Swancock,Male,Kannada,5048373483641506,mastercard,5390,4/13/2028
461,Earvin Loton,Male,Maltese,5048375660034082,mastercard,2087,2/11/2029
462,Pavlov McGonagle,Male,Hindi,5108757603662219,mastercard,2067,4/30/2029
463,Deirdre Yarrow,Female,Dari,5048373838988859,mastercard,4627,9/4/2029
464,Randee Avard,Female,Armenian,5108755959825240,mastercard,9396,12/22/2027
465,Mayor Antwis,Male,West Frisian,5048371627465378,mastercard,6023,2/12/2024
466,Korella Mavin,Female,Telugu,5108756226068077,mastercard,802,1/2/2028
467,Gusella Ganniclifft,Female,Dutch,5108758702255400,mastercard,4518,7/11/2026
468,Ivor Hallam,Male,Kyrgyz,5048371323299527,mastercard,2730,2/1/2027
469,Colman Ortsmann,Male,Nepali,5108750083714006,mastercard,1571,3/22/2029
470,Delmer Ockland,Male,Catalan,5048377945005853,mastercard,9278,5/10/2027
471,Austen Bellard,Male,Amharic,5048372851857884,mastercard,4454,11/27/2024
472,Dana Bootes,Male,Polish,5108752506813373,mastercard,380,1/24/2027
473,Karena Gantzer,Female,Dari,5108752037500796,mastercard,6208,10/4/2025
474,Kean Skacel,Male,Moldovan,5108759756536687,mastercard,2476,5/24/2025
475,Denys Eakeley,Male,Papiamento,5048373872346808,mastercard,9873,11/14/2030
476,Sigvard Swalough,Male,Tajik,5048370212757439,mastercard,6891,12/6/2026
477,Anny Arniz,Female,Romanian,5048376065388198,mastercard,7204,7/1/2029
478,Jeri MacCheyne,Agender,Georgian,5048373872276468,mastercard,4304,6/28/2026
479,Ugo Pouck,Male,Maltese,5108755567205199,mastercard,9818,7/30/2027
480,Ondrea Chedzoy,Female,Swahili,5048374792754295,mastercard,9727,11/24/2024
481,Jackelyn Keepin,Female,Georgian,5108754676774609,mastercard,2188,4/6/2027
482,Jaye Caret,Male,Finnish,5048375777665166,mastercard,3390,6/20/2027
483,Sean Lummis,Male,Irish Gaelic,5108757499843477,mastercard,9637,10/5/2028
484,Suzann St. Leger,Female,Japanese,5048370604025213,mastercard,3404,12/24/2024
485,Alyse Humbles,Female,Telugu,5108750670580208,mastercard,5866,2/18/2025
486,Poul Beardsworth,Male,Bislama,5108755976489392,mastercard,8638,4/1/2030
487,Richmound Ridger,Genderfluid,Azeri,5108757126884944,mastercard,2299,3/8/2024
488,Alberta Woodruffe,Female,Tetum,5108756614599089,mastercard,8322,4/26/2026
489,Larissa Instone,Female,Kannada,5108759262562037,mastercard,6741,4/10/2030
490,Parrnell Kulis,Male,Burmese,5108754318910603,mastercard,9123,12/31/2023
491,Marline Aphale,Female,Telugu,5048377866165405,mastercard,1274,6/8/2026
492,Pernell Shortt,Male,German,5108758275993049,mastercard,2923,4/24/2030
493,Samaria Eilert,Female,Swahili,5048378869295595,mastercard,3953,12/8/2026
494,Rheta Tumelty,Female,Catalan,5108759437614168,mastercard,6151,3/21/2028
495,Dan Malecky,Male,Irish Gaelic,5108754558381853,mastercard,3716,2/26/2024
496,Laura Vines,Female,Swedish,5108753598268427,mastercard,961,3/7/2029
497,Livy O'Garmen,Female,Hiri Motu,5108759727231178,mastercard,3682,10/8/2030
498,Marcy Compston,Female,Montenegrin,5108757635586840,mastercard,1826,11/19/2029
499,Meggi Di Baudi,Female,German,5108752332261961,mastercard,9644,6/20/2025
500,Alfy Duetsche,Male,Latvian,5048378581783514,mastercard,4430,3/28/2025
501,Essie Gowdridge,Female,Icelandic,5108753875699682,mastercard,9714,6/22/2024
502,Emeline Zapater,Female,Chinese,5048376816710054,mastercard,6909,8/18/2026
503,Eugene Dymick,Male,Zulu,5048375248594839,mastercard,4441,5/23/2030
504,Jackquelin Coatman,Female,Armenian,5048374351591096,mastercard,8670,7/12/2027
505,Orren Vescovini,Male,Estonian,5048375629452110,mastercard,4971,2/13/2029
506,Faun Eustace,Female,Punjabi,5048372650862655,mastercard,8616,12/25/2028
507,Gene Alesio,Female,Armenian,5048372299987020,mastercard,3570,6/28/2029
508,Keely Bockman,Female,Telugu,5108753675359024,mastercard,2757,12/2/2028
509,Dode Ortner,Female,Azeri,5048370092714096,mastercard,9518,5/26/2024
510,Jordana Scotchford,Female,Catalan,5048370392705885,mastercard,4600,9/5/2030
511,Roberto Ruler,Genderqueer,Bulgarian,5108757629349585,mastercard,1165,4/29/2024
512,Jordan Taylerson,Male,German,5108752549631055,mastercard,7874,3/4/2026
513,Rod Dillinton,Male,Swahili,5108750070621602,mastercard,7674,8/16/2026
514,Cherlyn Gitting,Female,Assamese,5108750938911500,mastercard,6041,7/10/2025
515,Ruperto Adlam,Male,Luxembourgish,5108751126243060,mastercard,5225,6/5/2028
516,Porter Jankiewicz,Male,Bislama,5108755478474900,mastercard,6170,11/25/2026
517,Vince Vickerman,Male,Polish,5048377887758840,mastercard,7840,8/30/2027
518,Nappy MacNally,Male,Estonian,5048375557748778,mastercard,8342,11/8/2030
519,Aila Ayris,Genderfluid,Croatian,5108757507788565,mastercard,7803,12/19/2029
520,Shane Livezey,Male,Swati,5048370338120041,mastercard,9652,11/29/2026
521,Isaiah Killbey,Male,Bengali,5108750724837109,mastercard,3962,1/4/2025
522,Algernon de Chastelain,Male,Spanish,5048375873014475,mastercard,7331,7/6/2028
523,Monty McSweeney,Male,Moldovan,5048374555444779,mastercard,9866,8/19/2026
524,Corilla Murfin,Female,West Frisian,5048379238416797,mastercard,982,3/2/2029
525,Sibilla Mitchelmore,Agender,Ndebele,5108757337466101,mastercard,6456,5/12/2024
526,Hilda Grey,Female,Afrikaans,5048376974848589,mastercard,336,5/16/2028
527,Grier Finessy,Female,Tetum,5048379316974873,mastercard,1239,10/13/2024
528,Kingsley Birdsey,Male,Norwegian,5048378741729779,mastercard,8857,1/4/2030
529,Avery Garnsey,Male,Tajik,5108753278816156,mastercard,7792,8/13/2026
530,Laureen Lettice,Female,English,5048370622842714,mastercard,5906,5/31/2026
531,Lenci Biesterfeld,Male,Maltese,5048379406542713,mastercard,1049,7/24/2026
532,Dur Raddon,Male,Croatian,5108758242786112,mastercard,1030,1/1/2027
533,Ulick Batchelour,Male,Dutch,5048371742582370,mastercard,6549,4/25/2030
534,Agosto Edmondson,Male,Azeri,5048372337559930,mastercard,5486,1/13/2030
535,Maureen Melendez,Female,Latvian,5108759086861029,mastercard,5196,8/15/2029
536,Paulo Bacher,Male,German,5108754608052819,mastercard,523,6/16/2028
537,Marena Boylan,Female,Somali,5048378031319463,mastercard,2409,12/23/2028
538,Deane Kaminski,Male,Armenian,5108758160272376,mastercard,6380,11/26/2030
539,Taylor Tinan,Male,Korean,5108759039662755,mastercard,5997,11/18/2028
540,Florencia Scourgie,Female,Hebrew,5048372024685899,mastercard,4984,11/1/2026
541,Rikki Ladloe,Male,Belarusian,5108752432965909,mastercard,6560,10/6/2027
542,Cobb Skermer,Male,Azeri,5048371684672429,mastercard,5322,10/19/2023
543,Rabi Woodrow,Male,Haitian Creole,5108755477789100,mastercard,2503,4/21/2024
544,Noach Hughlin,Male,Swahili,5048374591135209,mastercard,5143,5/24/2029
545,Bond Blackett,Male,Dutch,5048375491134721,mastercard,3541,3/3/2027
546,Emanuele Authers,Male,Guaraní,5048373583265800,mastercard,7028,6/9/2024
547,Ashia Brugden,Genderqueer,Guaraní,5108756451033366,mastercard,7890,2/12/2027
548,Constanta Corrie,Female,Gujarati,5108750568649529,mastercard,4354,1/17/2024
549,Olivie Nehlsen,Female,Kashmiri,5048376476199960,mastercard,8324,1/10/2029
550,Cordey Wethered,Polygender,Romanian,5048379077503580,mastercard,1372,1/15/2026
551,Renell Blagbrough,Female,Somali,5048373245654755,mastercard,1207,2/12/2028
552,Butch Bugdale,Male,Hebrew,5108753547433270,mastercard,4482,3/27/2025
553,Emmery Condliffe,Male,Lao,5048379476796355,mastercard,4458,7/9/2025
554,Derron Loveless,Bigender,Catalan,5048377128525180,mastercard,5295,7/18/2025
555,Parsifal Mogford,Male,West Frisian,5108758376494079,mastercard,1909,9/15/2027
556,Franky Poynton,Female,Lao,5048378970388776,mastercard,569,2/8/2029
557,Alina Corradi,Female,Ndebele,5108755434290101,mastercard,3229,3/4/2027
558,Bryanty Crowch,Male,Persian,5048374504737372,mastercard,1993,5/27/2029
559,Phillip Skeene,Male,Amharic,5048379169711406,mastercard,6819,3/17/2029
560,Winfred Antoniat,Male,German,5048374525139194,mastercard,6190,10/14/2026
561,Cecil Thames,Female,Oriya,5108759002651769,mastercard,9191,1/27/2025
562,Melva Douch,Female,Tamil,5048377340772578,mastercard,4604,1/3/2030
563,Dawna Sandall,Female,Tsonga,5108753470832167,mastercard,6156,7/2/2028
564,Frans Penson,Male,Armenian,5048377685548617,mastercard,5003,1/12/2026
565,Jo ann O'Dyvoy,Female,Kazakh,5108757508878183,mastercard,7918,1/7/2024
566,Ursulina Matthensen,Female,Finnish,5108750684782535,mastercard,5364,9/27/2028
567,Queenie Checci,Female,Bulgarian,5108755732574941,mastercard,5096,6/18/2028
568,Marty Muscroft,Male,Albanian,5108751061624415,mastercard,961,10/24/2029
569,Allistir Kundert,Male,Hungarian,5048372073095396,mastercard,582,3/10/2030
570,Violetta Moxson,Genderqueer,Italian,5108751705161378,mastercard,7252,11/18/2030
571,Daisie Leyburn,Genderfluid,Chinese,5048371000674935,mastercard,2339,9/12/2028
572,Germain Das,Male,French,5048371152153357,mastercard,7804,2/8/2029
573,Diannne Churcher,Female,Estonian,5048370437371826,mastercard,607,10/12/2028
574,Roxanna Dibbe,Female,Greek,5048376442273493,mastercard,3805,4/8/2026
575,Barn Edards,Male,Maltese,5108750127786879,mastercard,5931,8/1/2027
576,Korella Pothecary,Female,Dhivehi,5108758844249188,mastercard,3843,9/19/2024
577,Cleveland Jurczyk,Male,Italian,5048373133340244,mastercard,3286,10/23/2030
578,Arleyne Carthew,Female,Malay,5048376912428148,mastercard,6197,10/28/2024
579,Lorelei Antonov,Female,Kurdish,5048373580065013,mastercard,9579,6/9/2030
580,Shawna Karpmann,Female,Filipino,5048374501808549,mastercard,3487,5/12/2024
581,Zandra Reiglar,Bigender,Persian,5108758489605025,mastercard,2311,1/22/2028
582,Nancy Sheffield,Female,Persian,5048370246616221,mastercard,8963,9/29/2029
583,Inessa Dredge,Female,Romanian,5108756512476521,mastercard,9965,6/3/2030
584,Dalia Milesap,Female,Italian,5108758949402997,mastercard,4177,4/18/2029
585,Dag Roberti,Male,Maltese,5108757330648473,mastercard,7931,8/7/2024
586,Ebonee Meier,Female,Amharic,5108754965200001,mastercard,688,12/1/2026
587,Stacie Dannel,Female,Finnish,5108751654804390,mastercard,4091,5/14/2025
588,Mavis Haste,Female,Dari,5048374771288885,mastercard,193,10/16/2028
589,Dix Sparrowhawk,Female,Tamil,5108756962924004,mastercard,3395,7/10/2026
590,Lindie Sefton,Female,Maltese,5048378680209130,mastercard,8280,6/7/2025
591,Leonard McGannon,Male,Romanian,5108757052118127,mastercard,3990,7/5/2026
592,Hussein Henricsson,Male,New Zealand Sign Language,5108756142207031,mastercard,141,5/29/2029
593,Domeniga Pontefract,Female,Khmer,5048378611058630,mastercard,449,4/22/2030
594,Cicily Januszewicz,Female,Dzongkha,5108757853915556,mastercard,6696,11/17/2026
595,Jennilee Cripwell,Genderqueer,Gagauz,5108757330665717,mastercard,4743,11/3/2026
596,Nicki Spacey,Female,Armenian,5108758055656584,mastercard,1867,2/18/2029
597,Constantine Ahrenius,Female,Kazakh,5048371778310183,mastercard,9699,11/5/2028
598,Levin Master,Male,Hindi,5108755270347080,mastercard,4503,4/29/2026
599,Rickard Claessens,Male,Telugu,5108753803442304,mastercard,2765,11/5/2024
600,Normand Camps,Male,Assamese,5048375859726779,mastercard,1606,12/24/2029
601,Tomi Mercy,Female,Aymara,5048373822302257,mastercard,9698,7/19/2024
602,Pinchas Lambole,Male,Gujarati,5048373250676156,mastercard,9888,10/7/2026
603,Dolorita Punchard,Female,Japanese,5108758159925455,mastercard,4629,11/2/2026
604,Andra Clausner,Female,Malagasy,5108759709065669,mastercard,218,4/28/2029
605,Johnath Maddie,Female,Luxembourgish,5108751865115453,mastercard,3117,4/25/2027
606,Minor Jeal,Male,Icelandic,5048371875492017,mastercard,950,9/4/2027
607,Ninnetta Jansson,Female,Punjabi,5108754784429039,mastercard,4572,7/11/2024
608,Kirbee Winckworth,Bigender,Bosnian,5048378450577930,mastercard,789,12/13/2024
609,Dot Beverstock,Female,Malay,5108758028486549,mastercard,3539,8/5/2025
610,Ilysa Greenig,Female,Bulgarian,5048373972517704,mastercard,6581,10/3/2025
611,Robbi Jesteco,Female,Korean,5048377027074280,mastercard,2083,2/11/2030
612,Gare Pepperell,Male,Bislama,5108758039043040,mastercard,4069,11/3/2029
613,Robbert Philler,Male,Sotho,5048375019307296,mastercard,8307,3/21/2027
614,Rabi Thor,Male,Gagauz,5108759327911500,mastercard,5785,6/4/2024
615,Constancy Lowres,Female,Dhivehi,5108759608828696,mastercard,9441,11/19/2026
616,Rhys Spelman,Male,Pashto,5048372687757704,mastercard,7415,9/10/2030
617,Karyl Chang,Female,Afrikaans,5048370946766227,mastercard,8575,8/25/2024
618,Stanislaw Hutchens,Male,Hindi,5048373714398793,mastercard,8974,11/6/2028
619,Evered Clubley,Male,Papiamento,5048372575674870,mastercard,3272,7/18/2027
620,Ardene Sprey,Female,Malagasy,5048375613380889,mastercard,6345,12/20/2025
621,Janith Pearl,Female,Estonian,5108759016745599,mastercard,7880,8/30/2028
622,Reggis Satterlee,Male,English,5048379168701150,mastercard,9074,9/1/2028
623,Chen Kuhnt,Male,Hungarian,5048374413351422,mastercard,5906,4/5/2026
624,Vince Jozwik,Male,New Zealand Sign Language,5048376941027739,mastercard,5652,4/4/2029
625,Vittoria Russ,Female,Sotho,5048372135063010,mastercard,5193,11/17/2030
626,Jodee Semerad,Female,Swati,5108751896059282,mastercard,9643,9/15/2029
627,Paco Clewlow,Male,Bengali,5108750185694874,mastercard,3812,3/4/2027
628,Nathalia Summons,Female,Kazakh,5048373366507154,mastercard,4885,10/21/2030
629,Ardelia Slot,Female,Kannada,5048378633859676,mastercard,8500,1/1/2029
630,Blondell Hurle,Female,Macedonian,5048370801631029,mastercard,4324,10/3/2030
631,Elsi Audibert,Female,Punjabi,5048374281718108,mastercard,9444,5/15/2027
632,Javier Tondeur,Male,Assamese,5108759881540257,mastercard,5919,4/26/2024
633,Wallis Grioli,Male,Dzongkha,5048371884251065,mastercard,5298,7/2/2026
634,Onofredo Gosney,Male,Portuguese,5108759986311828,mastercard,9790,1/29/2030
635,Trey Sargood,Male,Burmese,5048379959707648,mastercard,4408,4/30/2027
636,Fernando O' Kelleher,Non-binary,Nepali,5108758603984918,mastercard,7904,6/22/2024
637,Constantine Bengtsson,Female,Polish,5048376485944026,mastercard,7416,10/11/2026
638,Calla Anthoine,Female,Italian,5108758390271883,mastercard,8692,9/16/2025
639,Victoir Andriolli,Male,Dzongkha,5048376536515346,mastercard,1257,4/17/2029
640,Clerkclaude Crebott,Male,Lithuanian,5048374157374275,mastercard,3379,7/27/2025
641,Kirbie Groll,Female,Korean,5108759169333284,mastercard,9936,2/21/2024
642,Morrie Brydon,Male,Mongolian,5048374186744183,mastercard,9398,1/5/2029
643,Cathryn Jaquiss,Female,German,5108755358076791,mastercard,1656,1/7/2030
644,Haywood Hovee,Male,Latvian,5048370811523935,mastercard,8301,9/25/2028
645,Easter Calafate,Female,Bislama,5048373706006669,mastercard,5280,6/21/2028
646,Shell Echalier,Female,Latvian,5048375562318112,mastercard,9049,11/7/2029
647,Marion Bielfeldt,Male,Malay,5048373789915885,mastercard,1824,5/10/2025
648,Georgeanna Manneville,Genderfluid,Guaraní,5108752476277880,mastercard,6291,6/17/2028
649,Alfie Oliveras,Male,Icelandic,5108752938727829,mastercard,9993,9/27/2026
650,Demetri Garshore,Male,Bengali,5108758978689100,mastercard,6373,1/31/2027
651,Giffer Kroll,Male,Hindi,5048373528223898,mastercard,4063,8/23/2026
652,Merry Dike,Female,Ndebele,5048373248238598,mastercard,6261,3/6/2027
653,Brander Scholtz,Male,Luxembourgish,5048374283999128,mastercard,9702,7/19/2029
654,Abe Orrill,Male,Oriya,5108755744123059,mastercard,3977,4/16/2025
655,Ward Velasquez,Male,Italian,5108758944478216,mastercard,3932,7/27/2028
656,Dorena Curson,Female,Swahili,5108751128376306,mastercard,5800,8/12/2030
657,Arlie Keel,Female,French,5108759053493038,mastercard,2704,12/22/2024
658,Hali Dellenty,Female,Irish Gaelic,5108753256841531,mastercard,8760,1/28/2027
659,Cornelius Ranner,Agender,Belarusian,5048379658617213,mastercard,5393,3/31/2026
660,Jada Najafian,Female,Hebrew,5108750845909357,mastercard,7194,10/12/2030
661,Beltran Nanelli,Male,Portuguese,5108751690884422,mastercard,338,8/7/2029
662,Maridel Amberg,Polygender,Czech,5108757434245382,mastercard,1632,10/10/2028
663,Bridgette Frankcombe,Female,Tajik,5108759113605795,mastercard,1733,12/15/2026
664,Cathyleen Purle,Female,Gujarati,5108752158541173,mastercard,6421,1/8/2024
665,Lise Baford,Polygender,Croatian,5108754866983960,mastercard,8469,2/19/2030
666,Lorry Brundle,Female,Gagauz,5108752120008327,mastercard,5611,10/19/2023
667,Lucilia Cary,Female,Fijian,5048371429300609,mastercard,8464,2/5/2030
